,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
0,32.4565,24.644642,24.34735,77.458176,92.98985,99.54498
1,33.693638,28.780502,25.534544,95.69132,85.74825,92.29726
2,34.120407,29.417381,27.498201,111.47426,82.01965,88.653244
3,31.352415,28.739061,29.784079,104.62413,97.42609,114.55248
4,30.475208,28.41418,29.696924,97.60435,97.20196,114.34969
5,28.29982,25.873722,27.032804,94.331024,95.35528,103.18
6,30.061472,24.444075,26.346863,90.01509,99.952736,108.93311
7,31.575165,25.547287,27.328926,91.48317,93.11985,102.41242
8,31.643888,26.16673,27.355438,100.25153,78.93723,88.368095
9,30.426647,24.292933,26.758871,98.93226,83.30874,88.60447
10,28.743093,21.967081,24.986895,92.51001,78.265335,80.07836
11,29.869926,22.210629,25.249418,85.049706,73.37887,69.65286
12,29.390211,26.866735,26.263092,94.67261,71.68727,69.528625
13,29.375795,29.103996,28.467846,94.94589,82.2701,77.07591
14,34.46979,28.979221,30.266476,98.30435,99.71998,96.75534
15,36.2122,30.6073,34.07641,96.67369,101.26262,99.95794
16,32.434425,27.978077,32.265083,91.912674,89.71525,89.561714
17,29.974213,24.912136,29.623156,84.94662,86.85336,93.85812
18,35.235645,28.619375,32.19649,88.766136,87.25689,95.93123
19,37.160824,34.2012,37.115868,83.409584,92.301476,103.71033
20,36.522907,34.169674,36.733692,83.87769,90.98457,102.50929
21,31.115782,29.718887,32.75945,83.71584,90.47477,103.38755
22,30.840582,31.24715,33.62402,82.39186,93.281784,104.81054
23,29.465073,29.67318,30.882633,83.42992,109.069084,114.964355
24,29.805555,29.310509,28.888021,80.36871,111.273254,121.9871
25,29.824995,29.730375,31.17659,77.20456,110.42635,121.071526
26,30.58645,29.845636,31.576488,76.99916,99.72304,104.4606
27,27.959597,26.742224,29.014896,85.31465,91.376526,98.63576
28,25.446125,24.048874,24.881676,80.298935,105.49258,102.009384
29,24.232965,25.172283,26.620373,74.91714,104.45287,101.63185
30,25.828558,24.191269,25.737251,86.269135,106.48731,105.5269
31,25.693884,23.486395,26.38058,90.764595,104.320206,105.23595
32,28.464287,26.299137,26.08404,98.18441,122.9413,128.03867
33,29.925386,27.610186,30.335623,90.370605,117.5568,126.20702
34,41.889038,37.51068,40.961395,78.85116,100.00219,110.04607
35,42.202805,37.891754,41.73847,90.35255,100.19226,104.03935
36,36.616863,32.480095,36.431713,92.04585,107.31628,112.791954
37,36.146603,29.991703,32.001984,85.180885,103.50141,108.60416
38,34.139576,31.588331,31.940794,81.13606,99.52905,101.49645
39,31.60762,29.33796,29.417711,81.26849,103.95462,103.522125
40,34.227493,33.62086,32.246574,80.467285,92.86904,92.907776
41,34.032692,33.546986,32.2436,75.47024,87.494934,86.839096
42,34.74681,32.4283,32.705315,74.36862,80.11088,84.21674
43,31.40169,28.296497,29.345476,82.047455,81.83987,82.13106
44,26.82219,24.300661,27.062906,83.1624,87.92199,83.64424
45,27.584894,25.010305,28.493614,105.51923,90.33603,91.13098
46,31.77197,28.777721,30.678486,103.7741,83.98112,84.559
47,30.887224,29.068731,31.858643,92.45388,75.20557,73.33458
48,30.26744,26.92178,30.421722,92.64546,99.97783,89.4087
