,ETMX_Z,ITMY_Z,ETMY_Z,ETMX_X,ITMY_Y,ETMY_Y
0,50.13726,49.836582,45.976494,121.93246,122.85401,135.40356
1,50.117844,50.25195,46.277668,132.9445,127.86502,140.41023
2,43.816895,43.237762,42.535404,131.88422,132.47272,139.0699
3,39.42017,39.245247,42.212402,115.58495,141.9039,143.47562
4,44.234486,43.59362,49.57429,130.76268,151.94144,144.86331
5,53.68459,49.92598,55.012363,147.33292,150.13359,141.1306
6,53.130814,49.54847,54.77208,145.73785,137.4231,132.70299
7,51.930283,47.715046,51.26891,131.42577,132.64513,130.43747
8,47.098515,46.778774,48.8555,148.44237,125.936066,126.50473
9,46.503853,43.754025,46.776962,152.137,135.25137,124.52778
10,45.434563,41.343548,44.46453,142.52354,129.41032,123.046364
11,40.060936,36.923294,39.078827,121.455795,129.36722,122.19834
12,35.786694,32.075356,33.84542,111.06805,117.425446,110.77112
13,33.43599,34.379177,31.595821,104.913284,124.254135,123.00751
14,38.498028,38.85528,38.93528,95.58088,131.41034,134.87096
15,40.994007,38.370827,37.84921,95.564835,124.86411,129.00659
16,38.02041,35.44783,36.866245,88.96724,121.61967,122.53809
17,35.928276,33.265892,35.877205,93.58585,129.007,122.05139
18,37.280724,32.99847,36.793247,125.12394,128.56415,121.759865
19,41.30473,36.962166,36.874752,119.8813,107.02133,103.62711
20,42.806435,40.39865,39.495182,105.002,99.57659,117.97832
21,44.281246,40.1858,51.402958,102.84279,100.79635,120.87205
22,42.575825,38.56323,51.45006,108.30665,107.15294,160.00371
23,43.78482,38.57606,57.379635,113.320564,139.71866,185.89006
24,41.710648,36.188618,51.88023,107.447296,137.2687,184.55127
25,43.153133,38.640823,54.511818,98.16725,145.31534,202.87544
26,44.682785,40.842934,54.809937,94.90711,144.15659,194.24126
27,40.26306,38.482643,52.631485,118.27673,174.10533,202.60965
28,38.11773,35.769424,56.053596,118.098724,170.11191,195.87183
29,41.308147,40.660465,59.742886,116.89862,151.48003,190.9496
30,41.364136,42.556126,60.704845,103.70193,144.50008,182.42528
31,39.206863,39.453842,53.11004,91.96227,129.80928,158.69913
32,40.215214,43.045677,58.02965,89.04973,120.82238,152.91147
33,39.349766,41.4225,54.672493,100.216324,109.42209,145.87222
34,35.363415,36.60379,47.45183,112.80365,122.22785,177.75685
35,35.0525,32.11181,43.97566,102.92635,123.161736,176.63948
36,35.08522,31.956705,42.99939,102.23392,139.73167,167.95522
37,36.798214,30.579515,40.97208,100.74427,139.77315,169.57253
38,39.370583,35.107513,39.300953,102.46063,121.64741,162.60623
39,40.726154,37.458496,46.91256,103.01858,122.9646,150.78323
40,42.17655,35.37071,43.459526,100.53317,118.86003,192.02353
41,49.395897,40.070656,43.781445,108.370636,108.48587,191.03009
42,48.01463,39.44062,45.03821,100.74771,115.54904,182.72835
43,47.54315,43.905525,49.15259,98.47645,114.58868,174.8775
44,48.929886,45.33514,50.992813,99.26937,130.12355,173.3192
45,45.160084,40.921516,45.00711,113.18996,129.66335,171.78139
46,40.57975,38.44961,45.21923,112.944046,121.767204,155.58368
47,42.036015,38.309345,46.41832,100.707886,114.44555,141.71707
48,41.03249,36.422676,44.27478,98.00118,110.61571,135.90077
49,37.051197,35.220345,41.420273,107.093414,110.755356,125.503265
50,37.179157,35.297844,41.4097,100.89689,130.13364,151.47182
51,33.829987,31.882895,38.36299,94.04341,135.77998,164.62112
52,36.706562,32.859146,34.46376,89.24965,133.33826,159.36316
53,33.89264,31.076344,32.455036,88.761345,126.23779,142.20555
54,34.018417,32.845715,31.619495,88.70858,126.73198,127.73982
55,40.85608,32.825436,34.86375,86.66765,129.67093,125.82455
56,41.361565,34.336266,38.355873,94.8144,162.2919,168.08113
57,43.24659,36.19845,44.089275,95.80745,159.10492,163.52257
58,41.894554,35.37882,42.82573,87.452286,155.58228,155.3013
59,41.49577,34.039978,39.86186,73.887596,132.62111,133.56834
60,36.21575,31.352964,39.18812,68.78161,125.557625,127.96884
61,36.90015,30.104485,38.303852,76.77793,127.2383,133.24945
62,40.196255,33.21175,39.126854,86.215324,115.964355,141.38235
63,40.576008,37.114902,46.348133,95.322235,122.30345,151.2908
64,40.641174,36.762264,45.34789,98.94582,116.776215,144.87491
65,37.515675,33.85306,39.64629,117.913055,110.209854,139.61514
66,37.455467,36.53805,37.393227,104.309746,114.19858,139.01428
67,36.33093,35.883533,35.620636,103.53476,99.93732,118.35188
68,32.20349,30.88506,32.399773,99.83123,99.58122,111.60289
69,39.84404,38.777046,43.6725,88.84074,94.663734,107.070274
70,41.667892,41.08582,44.50498,113.14788,97.35021,95.18612
71,38.327644,37.892242,40.212708,115.72208,98.29356,92.018936
72,39.0326,37.008083,39.28756,126.4789,92.64936,89.69263
73,35.424557,33.56503,34.40805,124.677635,98.81416,102.17371
74,36.275986,34.838284,34.130096,115.224144,91.152664,98.331154
75,38.90156,39.514946,44.44889,109.04791,106.70495,108.35947
76,36.470516,39.013466,45.08753,104.59517,105.42922,105.75567
77,33.907307,34.74528,41.816166,93.74637,96.07349,99.08722
78,39.296867,34.15528,37.63115,99.06016,97.24143,99.8612
79,37.75147,32.664013,37.09643,90.232735,131.28786,135.91444
80,34.108547,31.81192,34.993984,84.875336,132.1906,149.74896
81,34.093773,31.795877,31.410078,80.08181,131.79488,148.08385
82,36.61385,32.28772,31.613386,84.48228,119.95382,130.52022
83,38.71526,35.237232,34.240463,88.99053,105.56435,115.4509
84,37.44123,34.383156,34.587673,94.935936,101.56017,119.94347
85,41.195953,36.87044,40.634804,88.44281,98.34406,113.81239
86,41.52881,35.88014,41.06638,81.95766,88.35651,100.683136
87,39.87885,34.40257,37.9394,80.628044,97.66833,107.25364
88,35.670456,33.3345,40.069916,86.7279,100.715904,104.60275
89,44.655434,43.37711,47.34258,90.80481,106.07533,101.603226
90,46.49014,43.893627,47.65874,91.54847,133.22185,113.637115
91,45.415974,40.016064,42.104,94.66313,148.98451,134.83261
92,40.687954,36.63596,39.85079,87.27397,153.0252,140.4755
93,36.66372,33.54305,37.656464,97.708145,145.69376,138.51538
94,31.503073,29.717453,34.955112,106.91232,132.4234,125.63319
95,29.319101,27.027641,32.625214,119.12286,124.720055,123.65628
96,34.79324,32.153637,36.503532,117.7905,122.06098,128.19415
97,38.89744,38.683136,39.40332,120.764854,125.97754,136.42053
98,39.212193,39.000866,38.654335,131.7327,124.99676,135.34361
99,36.537693,35.737366,35.108376,133.22034,113.10575,124.289154
100,41.761982,42.531013,41.006355,118.62517,123.71298,121.1269
101,41.64391,42.42099,41.19761,106.260124,122.799286,120.3294
102,39.662743,39.106903,40.180676,103.955284,113.00822,121.21711
