,Unnamed: 0,Date,Broke Lock,Time of Peak,Vert. Vel.,Horiz. Vel.,Ratio V/H,Time of Lost Lock (LL),LL Vert. Vel.,LL Horiz. Vel.
0,0,2019-04-01 03:23:00,No,1238124198,153.99911,303.66337432476524,0.507137583985678,-,-,-
1,1,2019-04-01 09:43:00,No,1238146998,156.16837,335.3542138948208,0.4656818478177228,-,-,-
2,2,2019-04-01 20:07:00,No,1238184438,285.32315,517.7987380948841,0.5510309875411784,-,-,-
3,3,2019-04-02 22:23:00,Yes,1238278998,6817.9307,15239.03487874941,0.4473991138052643,1238277798,681.04767,1787.3561621094157
4,4,2019-04-03 03:09:00,No,1238296158,144.43826,386.8581660267454,0.3733623138512586,-,-,-
5,5,2019-04-05 16:43:00,Yes,1238517798,529.9719,1110.5395421217167,0.477220197839578,1238517738,479.0732,912.6781847546127
6,6,2019-04-05 19:07:00,Yes,1238526438,970.53723,1651.4700493649657,0.5876807940738601,1238525238,113.71074,278.58047287142654
7,7,2019-04-05 21:48:00,Yes,1238536098,191.81952,632.2193643617696,0.3034065876701567,1238535858,84.70548,290.71610894059415
8,8,2019-04-06 21:19:00,Yes,1238620758,1288.0846,4061.9046177199,0.3171134532260509,1238620458,232.8648,925.0952567029733
9,9,2019-04-07 06:58:00,No,1238655498,271.8885,518.5926543351391,0.5242814330807949,-,-,-
10,10,2019-04-07 11:30:00,No,1238671818,183.66827,549.5004040976102,0.3342459234431686,-,-,-
11,11,2019-04-08 22:48:00,Yes,1238798898,460.46164,970.9511389625176,0.4742377051970022,1238798778,404.68008,883.096019025723
12,12,2019-04-09 18:55:00,Yes,1238871318,1770.531,5474.198109232929,0.3234320287045832,1238870118,319.43008,985.2917404348066
13,13,2019-04-11 09:25:00,Yes,1239009918,939.76465,2922.5127002224986,0.3215605016629879,1239009258,446.83893,2209.408578556391
14,14,2019-04-12 13:09:00,Yes,1239109758,3069.1267,6016.169237690751,0.5101463371030523,1239108558,953.4956,2929.677427783074
15,15,2019-04-12 16:11:00,Yes,1239120678,609.71967,1178.01345564246,0.5175829419261375,1239119478,165.01881,451.32156012595453
16,16,2019-04-14 16:17:00,Yes,1239293838,175.70772,1118.0194261263407,0.1571598094755683,1239292638,86.0189,895.8821202352723
17,17,2019-04-16 05:43:00,No,1239428598,171.35231,487.6231579813776,0.3514031423555646,-,-,-
18,18,2019-04-16 08:28:00,No,1239438498,139.96988,342.9579845371864,0.4081254448380492,-,-,-
19,19,2019-04-16 10:45:00,No,1239446718,210.86061,469.9586425816239,0.4486790770389483,-,-,-
20,20,2019-04-20 23:25:00,No,1239837918,147.7531,356.24644778511856,0.4147496793824088,-,-,-
21,21,2019-04-22 10:34:00,Yes,1239964458,977.9766,2540.1787595190717,0.3850030618259161,1239964158,605.74646,1428.8898776875048
22,22,2019-04-22 18:52:00,Yes,1239994338,181.7327,603.5913172900456,0.3010856763412841,1239993138,39.18685,397.62155813887153
